date,ships_anchored,brent_price,bpi,ship_cap,corn_price,gscpi,Gulf,PNW,trade_vol,ships_waiting,wheat_price,bpi_volatility,brent_price_trend,brent_price_seasonal,bpi_trend,bpi_seasonal
2021-12-27,37.0,74.75999999999999,2490.6666666666665,1418853.0,605.4100000000001,4.3352919603595215,70.0,37.25,104.403883778905,112.0,810.7783333333333,87.65770746532694,90.87766987179486,-2.4984992200040272,3145.9740384615384,-20.473897882766245
2022-01-03,45.0,78.1825,2874.0,1315079.0,597.75,4.423213838270251,69.5,37.25,103.221506532508,127.0,775.2283333333334,207.32984991714656,91.69924679487181,-2.549676454931264,3121.981730769231,-55.87030813917652
2022-01-10,59.0,81.164,2907.4,1660730.0,604.4,4.423213838270251,69.0,37.25,103.221506532508,144.0,759.6666666666666,141.9882385410645,92.47053525641026,-2.9717086794634855,3088.325961538462,-135.400393609262
2022-01-17,56.0,86.32000000000001,2388.2,1788647.0,595.9375,4.423213838270251,70.5,38.75,103.221506532508,141.0,754.0625,138.15274355303188,93.16666987179487,-2.6525579518127604,3053.6701923076926,-263.27641412208254
2022-01-24,42.0,89.142,2026.0,1471098.0,611.65,4.423213838270251,68.5,37.5,103.221506532508,153.0,785.7716666666666,82.14738094814693,93.88209294871794,-2.1827159559707643,3021.820192307692,-358.7427867716551
2022-01-31,52.0,91.046,1847.8,1567378.0,626.85,3.715989951978264,64.5,35.0,103.221506532508,153.0,787.6033333333334,49.0580644310188,94.57153525641026,-1.7483313405861471,2994.5971153846153,-378.95663292550137
2022-02-07,59.0,93.76,1831.6,1742009.0,625.95,3.715989951978264,62.5,34.5,103.309632905187,155.0,762.4783333333334,43.04666294485274,95.18576602564103,-1.4565132532680605,2968.570192307692,-365.26851326738165
2022-02-14,66.0,97.31,2341.4,1675289.0,645.5,3.715989951978264,61.0,34.0,103.309632905187,141.0,788.395,144.0295455306306,95.79186217948717,-0.20979028029508723,2939.4278846153848,-300.4542611306295
2022-02-21,74.0,97.256,2430.4,1672086.0,647.3125,3.715989951978264,65.0,36.0,103.309632905187,147.0,788.8125,39.684196664291356,96.37488141025642,0.2637850835302783,2904.7394230769232,-196.45274403661242
2022-02-28,76.0,100.19,2649.2,1685570.0,682.1,2.809008096900822,66.0,36.25,103.309632905187,138.0,883.45,80.45344133202752,96.91846314102567,0.24995902670421807,2862.419711538462,-93.2860346349031
2022-03-07,61.0,119.622,2812.0,1685072.0,747.15,2.809008096900822,68.5,38.25,101.636627322929,117.0,1222.4366666666667,83.96726406614218,97.40414102564102,0.35289769614288685,2816.2134615384616,8.247341433473062
2022-03-14,69.0,118.56,3130.4,1602015.0,749.73,2.809008096900822,71.0,39.25,101.636627322929,116.0,1143.77,119.95494874930009,97.79204487179489,0.07809710709229832,2775.4634615384616,38.618281604413234
2022-03-21,65.0,111.972,2926.6,1598489.0,747.7916666666666,2.809008096900822,79.0,44.25,101.636627322929,106.0,1096.625,95.72290727694005,98.12663141025642,-0.3210406267954343,2740.6783653846155,14.475551396079885
2022-03-28,73.0,122.04,3370.0,1730409.0,751.75,2.809008096900822,74.5,42.75,101.636627322929,112.0,1092.5633333333333,141.8491654119538,98.39216025641026,0.2655589920541854,2704.635576923077,9.805639537105554
2022-04-04,61.0,109.99,3160.4,1679551.0,739.1866666666666,2.8610871724422853,78.5,44.0,102.288745800931,101.0,1005.3333333333334,90.22704534917278,98.5932371794872,0.24932943557462625,2666.800961538462,-9.256339629561134
2022-04-11,63.0,101.284,2831.8,1624606.0,762.2916666666666,2.8610871724422853,78.5,44.0,102.288745800931,86.0,1049.04,79.88389678942238,98.81839102564105,0.6959545221997129,2631.7548076923085,-23.801451809048423
2022-04-18,62.0,107.91333333333334,2957.3333333333335,1638680.0,791.0,2.8610871724422853,77.5,43.75,102.288745800931,107.0,1105.3333333333333,81.11891667506795,99.03894871794874,1.0454422214374128,2597.3682692307693,-4.103495078279055
2022-04-25,54.0,104.432,3036.8,1653407.0,800.855,2.8610871724422853,78.5,44.25,102.288745800931,103.0,1080.8533333333332,52.46458443136072,99.18775641025641,0.8139488049439975,2558.7413461538467,58.388131524285015
2022-05-02,50.0,105.0825,2918.75,1705684.0,813.2,3.5523806603161203,79.0,44.75,103.929235807138,92.0,1076.426,35.61142846650446,99.33512179487182,0.4385870585822512,2518.4086538461543,49.036488896079774
2022-05-09,49.0,109.622,3097.2,1616232.0,790.625,3.5523806603161203,79.0,44.25,103.929235807138,82.0,1092.0416666666667,67.07789462325428,99.56804487179487,0.6108672041123969,2484.520192307693,72.44726613966954
2022-05-16,29.0,109.07,3285.4,1786258.0,800.5216666666666,3.5523806603161203,79.5,44.5,103.929235807138,61.0,1170.4383333333333,44.91622597210766,99.8238141025641,0.9990123444450368,2458.3528846153845,97.64798729351578
2022-05-23,44.0,112.982,3342.0,1738244.0,785.25,3.5523806603161203,82.0,46.5,103.929235807138,74.0,1208.375,42.61803711728365,100.02869871794874,0.9698277030728966,2439.0163461538464,46.31573569095162
2022-05-30,44.0,119.238,3134.2,1695380.0,772.374,3.5523806603161203,82.5,47.0,103.929235807138,71.0,1151.826,88.83497735650414,100.18558333333334,1.2565268974595911,2421.045192307692,-44.56403193725346
2022-06-06,55.0,124.6,2855.0,1690267.0,736.375,2.7629325692452142,81.5,47.0,103.852949727821,85.0,1063.6466666666668,84.1019885867429,100.38452564102566,1.4927518194970102,2395.964423076923,-50.86787809109957
2022-06-13,52.0,128.088,2693.0,1724149.0,769.5633333333334,2.7629325692452142,80.25,46.0,103.852949727821,77.0,1072.5416666666667,58.32854963065104,100.54358333333334,1.392141112636304,2368.099038461539,-45.731159341099676
2022-06-20,61.0,123.046,2771.8,1768619.0,778.75,2.7629325692452142,79.5,45.25,103.852949727821,88.0,1053.1875,67.84170230180233,100.64975641025642,1.627646440079133,2346.3413461538466,-17.48720902058676
2022-06-27,72.0,117.12,2745.4,1752807.0,737.8533333333334,2.7629325692452142,79.5,45.25,103.852949727821,93.0,944.1883333333334,52.68982694936875,100.78597275641026,2.068875779995975,2329.24967948718,-21.808863668022646
2022-07-04,75.0,120.76,2501.4,1584606.0,757.0,2.43725214134663,79.0,45.0,103.825294718933,92.0,899.0,57.3551225279322,100.8755560897436,2.034270617140812,2306.5445512820515,51.29450171659271
2022-07-11,90.0,112.246,2295.4,1532120.0,716.73,2.43725214134663,76.5,44.0,103.825294718933,113.0,854.125,66.8934109777509,100.87307692307694,2.257441051998745,2277.1810897435903,112.56140876787477
2022-07-18,87.0,110.284,1956.2,1697610.0,604.1466666666666,2.43725214134663,75.0,43.25,103.825294718933,114.0,799.7083333333334,87.19878644712526,100.79051923076925,2.233228084223277,2249.100320512821,97.19838793454149
2022-07-25,88.0,111.726,2021.0,1771686.0,581.0416666666666,2.43725214134663,71.0,41.0,103.825294718933,109.0,792.9583333333334,59.46370548505335,100.71092307692308,2.0768102048054016,2227.265705128205,11.153315819156886
2022-08-01,96.0,108.848,2064.8,1758101.0,609.375,1.840661505961465,69.0,40.5,104.465025862562,119.0,805.52,15.437769137726391,100.62184615384616,1.5043798513750424,2210.2772435897436,-55.41182841161245
2022-08-08,98.0,102.018,1987.8,1680682.0,601.25,1.840661505961465,68.5,40.5,104.465025862562,117.0,775.6466666666666,21.901553244442436,100.44449999999999,1.3463330738282664,2194.0849358974356,-13.351371680843146
2022-08-15,87.0,103.602,1917.8,1749972.0,627.2916666666666,1.840661505961465,66.5,39.5,104.465025862562,95.0,800.145,16.74246142669058,100.19751923076925,1.6050399345351247,2171.311858974359,47.84454178069529
2022-08-22,88.0,96.088,1747.4,1878202.0,620.9783333333334,1.840661505961465,65.5,38.0,104.465025862562,103.0,759.3133333333334,55.28630904147816,99.94142307692309,1.2457597890049799,2141.5887820512817,71.82867639607994
2022-08-29,92.0,99.825,1464.75,1776061.0,667.895,1.840661505961465,63.0,36.5,104.465025862562,101.0,797.625,85.88327082952134,99.62942307692308,1.2859183129135043,2112.4387820512816,79.43071966531072
2022-09-05,93.0,95.088,1265.8,1659393.0,669.626,1.5247680095602894,61.5,35.5,104.879149687463,103.0,813.4583333333334,66.25329671572793,99.11192307692308,1.2226459636411542,2086.6560897435897,26.652835049926068
2022-09-12,105.0,90.276,1706.8,1585170.0,686.355,1.5247680095602894,57.0,33.5,104.879149687463,115.0,847.3133333333334,150.71288419224155,98.41928846153846,0.6669947162399088,2060.408012820513,8.67218601146448
2022-09-19,88.0,90.895,2074.75,1764480.0,687.9366666666666,1.5247680095602894,58.0,33.5,104.879149687463,98.0,848.0416666666666,105.46673299210505,97.6944423076923,0.3248990821442746,2034.638782051282,60.51245043454132
2022-09-26,88.0,87.34400000000001,2005.8,1930041.0,680.4783333333334,1.5247680095602894,61.5,36.5,104.879149687463,96.0,887.605,31.180200731001044,96.87363461538462,0.33871509046028203,2005.8267628205128,103.71952174864397
